Date,Scrip,Sector,Close,Return_252d_%,Return_50d_%,Return_20d_%,Rank_252d,Rank_50d,Rank_20d,Combined_Score_%,Overall_Rank,In_Portfolio,Sharpe_252d,RSI_14,Volatility_%,EMA200,Above_EMA200
2022-12-30,PSUBNKBEES,ETF - PSU Bank,47.81,75.32,36.56,4.96,1,1,1,38.95,1,YES,2.01,48.6,30.2,36.11,YES
2022-12-30,ICICIB22,ETF - Bharat 22 Index,57.18,30.04,6.58,-0.16,3,4,5,12.16,2,YES,1.63,43.6,17.1,52.59,YES
2022-12-30,CPSEETF,ETF - CPSE,38.06,30.48,4.65,-1.58,2,5,6,11.18,3,YES,1.38,44.6,20.8,36.1,YES
2022-12-30,BANKBEES,ETF - Bank,435.48,23.56,6.73,-0.03,5,3,4,10.09,4,YES,1.17,43.8,19.7,395.5,YES
2022-12-30,PVTBANIETF,ETF - Pvt Bank,21.74,23.8,4.47,0.23,4,6,3,9.5,5,YES,1.1,44.4,21.6,19.76,YES
2022-12-30,GOLDBEES,ETF - GOLD,46.79,12.5,8.34,1.98,7,2,2,7.61,6,,1.06,61.2,11.8,44.51,YES
2022-12-30,FMCGIETF,ETF - FMCG,45.22,21.92,1.21,-2.1,6,9,7,7.01,7,,1.41,27.3,14.8,42.66,YES
2022-12-30,NIFTYBEES,ETF - Top 50,198.04,7.31,3.78,-3.31,8,7,8,2.59,8,,0.52,37.5,15.8,190.54,YES
2022-12-30,LOWVOLIETF,ETF - Top 100,14.28,3.63,2.96,-3.77,9,8,11,0.94,9,,0.31,34.1,15.0,13.93,YES
2022-12-30,JUNIORBEES,ETF - Next 50,447.23,2.21,0.79,-3.61,10,10,10,-0.2,10,,0.21,36.3,18.5,440.68,YES
2022-12-30,PHARMABEES,ETF - Pharma,12.73,-7.15,-2.9,-3.56,11,11,9,-4.54,11,,-0.37,42.5,16.4,13.02,NO
2023-01-02,PSUBNKBEES,ETF - PSU Bank,48.24,75.1,35.43,4.66,1,1,1,38.4,1,YES,2.01,42.7,30.2,36.19,YES
2023-01-02,ICICIB22,ETF - Bharat 22 Index,57.68,30.03,6.54,0.17,3,4,3,12.25,2,YES,1.62,44.8,17.1,52.57,YES
2023-01-02,CPSEETF,ETF - CPSE,38.48,30.35,4.14,-2.01,2,6,6,10.83,3,YES,1.38,48.0,20.8,36.01,YES
2023-01-02,BANKBEES,ETF - Bank,437.18,23.36,7.69,-0.16,5,3,4,10.3,4,YES,1.16,42.4,19.7,395.51,YES
2023-01-02,PVTBANIETF,ETF - Pvt Bank,21.82,23.56,6.39,-0.32,4,5,5,9.87,5,YES,1.09,44.7,21.6,19.74,YES
2023-01-02,GOLDBEES,ETF - GOLD,47.17,13.36,9.6,2.34,7,2,2,8.43,6,,1.12,66.7,11.8,44.49,YES
2023-01-02,FMCGIETF,ETF - FMCG,45.19,21.51,0.24,-2.21,6,9,7,6.52,7,,1.39,27.1,14.8,42.68,YES
2023-01-02,NIFTYBEES,ETF - Top 50,199.34,7.0,4.13,-2.49,8,7,8,2.88,8,,0.51,38.0,15.8,190.36,YES
2023-01-02,LOWVOLIETF,ETF - Top 100,14.28,2.66,2.15,-3.38,9,8,9,0.47,9,,0.25,28.9,15.0,13.92,YES
2023-01-02,JUNIORBEES,ETF - Next 50,445.65,1.04,-0.56,-3.9,10,10,11,-1.14,10,,0.15,35.8,18.5,440.16,YES
2023-01-02,PHARMABEES,ETF - Pharma,12.68,-8.25,-3.87,-3.87,11,11,10,-5.33,11,,-0.44,38.9,16.4,13.01,NO
2023-02-01,GOLDBEES,ETF - GOLD,49.41,18.15,10.04,3.74,5,1,1,10.64,1,,1.46,77.5,11.9,45.48,YES
2023-02-01,FMCGIETF,ETF - FMCG,45.85,26.9,2.53,1.8,2,2,2,10.41,2,,1.69,63.3,14.7,43.5,YES
2023-02-01,ICICIB22,ETF - Bharat 22 Index,56.52,20.28,0.43,-1.81,3,3,4,6.3,3,YES,1.19,40.7,16.7,54.08,YES
2023-02-01,PSUBNKBEES,ETF - PSU Bank,42.05,32.78,-4.52,-13.26,1,10,11,5.0,4,YES,1.08,30.7,30.8,38.29,YES
2023-02-01,CPSEETF,ETF - CPSE,37.64,18.18,-1.54,-1.9,4,5,5,4.91,5,YES,0.91,50.9,20.7,36.98,YES
2023-02-01,LOWVOLIETF,ETF - Top 100,14.08,3.99,-1.47,-1.4,9,4,3,0.37,6,,0.34,44.6,14.5,14.04,YES
2023-02-01,PVTBANIETF,ETF - Pvt Bank,20.54,8.79,-3.75,-6.38,6,7,8,-0.45,7,YES,0.5,31.5,21.4,20.14,YES
2023-02-01,NIFTYBEES,ETF - Top 50,193.13,4.21,-3.06,-3.28,8,6,7,-0.71,8,,0.34,38.5,15.6,192.06,YES
2023-02-01,BANKBEES,ETF - Bank,410.42,7.5,-4.32,-6.56,7,9,9,-1.12,9,YES,0.47,30.0,19.7,403.3,YES
2023-02-01,PHARMABEES,ETF - Pharma,12.46,-3.49,-3.93,-2.27,10,8,6,-3.23,10,,-0.15,23.4,15.8,13.0,NO
2023-02-01,JUNIORBEES,ETF - Next 50,408.42,-3.54,-9.12,-8.95,11,11,10,-7.2,11,,-0.1,17.3,18.6,444.28,NO
2023-03-01,CPSEETF,ETF - CPSE,39.5,31.19,2.7,4.94,3,1,1,12.94,1,YES,1.45,71.0,20.1,37.03,YES
2023-03-01,PSUBNKBEES,ETF - PSU Bank,41.72,49.37,-12.46,-0.78,1,11,6,12.04,2,YES,1.53,38.8,29.0,38.54,YES
2023-03-01,ICICIB22,ETF - Bharat 22 Index,58.44,31.44,1.02,3.4,2,3,2,11.95,3,YES,1.82,62.8,15.7,54.36,YES
2023-03-01,FMCGIETF,ETF - FMCG,46.38,30.43,-0.81,1.16,4,4,3,10.26,4,,1.93,41.9,14.3,43.95,YES
2023-03-01,PVTBANIETF,ETF - Pvt Bank,20.58,16.53,-5.86,0.19,5,8,5,3.62,5,YES,0.88,34.0,19.6,20.11,YES
2023-03-01,BANKBEES,ETF - Bank,412.37,14.68,-6.28,0.48,6,10,4,2.96,6,YES,0.85,37.9,18.1,402.34,YES
2023-03-01,GOLDBEES,ETF - GOLD,47.77,7.06,2.18,-3.32,9,2,10,1.97,7,,0.64,29.2,11.6,45.7,YES
2023-03-01,LOWVOLIETF,ETF - Top 100,13.94,7.31,-3.8,-0.99,7,5,8,0.84,8,,0.59,34.0,13.4,14.0,NO
2023-03-01,NIFTYBEES,ETF - Top 50,191.28,7.24,-4.94,-0.96,8,7,7,0.45,9,,0.56,32.6,14.4,191.23,YES
2023-03-01,PHARMABEES,ETF - Pharma,11.93,-5.24,-6.21,-4.25,12,9,11,-5.24,10,,-0.28,18.5,15.0,12.75,NO
2023-03-01,JUNIORBEES,ETF - Next 50,398.97,-1.07,-13.06,-2.31,10,12,9,-5.48,11,,0.03,35.6,17.5,431.43,NO
2023-03-01,SILVERBEES,ETF - SILVER,63.76,-4.81,-4.85,-7.2,11,6,12,-5.62,12,,-0.11,32.6,22.2,62.37,YES
2023-04-03,FMCGIETF,ETF - FMCG,46.87,29.51,2.83,1.58,2,4,4,11.31,1,,1.98,57.7,13.5,44.4,YES
2023-04-03,PSUBNKBEES,ETF - PSU Bank,41.49,40.36,-11.23,-0.62,1,12,12,9.5,2,YES,1.31,49.7,29.2,38.99,YES
2023-04-03,GOLDBEES,ETF - GOLD,50.8,14.98,4.83,6.25,6,1,2,8.69,3,,1.27,67.5,11.5,46.42,YES
2023-04-03,CPSEETF,ETF - CPSE,40.03,19.07,4.0,1.14,4,2,5,8.07,4,YES,1.02,49.5,18.8,37.39,YES
2023-04-03,ICICIB22,ETF - Bharat 22 Index,58.89,21.85,1.24,0.93,3,5,6,8.0,5,YES,1.37,49.9,15.3,55.0,YES
2023-04-03,SILVERBEES,ETF - SILVER,70.39,6.03,3.21,11.36,8,3,1,6.87,6,,0.38,85.2,21.8,62.97,YES
2023-04-03,PVTBANIETF,ETF - Pvt Bank,20.55,15.32,-4.11,0.39,5,9,10,3.87,7,YES,0.87,65.9,18.4,20.04,YES
2023-04-03,BANKBEES,ETF - Bank,412.37,14.27,-4.1,0.69,7,8,8,3.62,8,YES,0.86,64.3,17.1,401.52,YES
2023-04-03,LOWVOLIETF,ETF - Top 100,14.05,4.85,-3.1,0.72,9,6,7,0.82,9,,0.44,61.8,12.6,13.94,YES
2023-04-03,NIFTYBEES,ETF - Top 50,190.56,1.78,-4.07,0.33,10,7,11,-0.65,10,,0.2,58.6,13.8,189.99,YES
2023-04-03,PHARMABEES,ETF - Pharma,12.2,-11.79,-4.76,2.35,12,10,3,-4.73,11,,-0.84,80.0,13.8,12.54,NO
2023-04-03,JUNIORBEES,ETF - Next 50,400.92,-6.83,-10.0,0.51,11,11,9,-5.44,12,,-0.34,52.1,16.7,423.03,NO
2023-05-02,PSUBNKBEES,ETF - PSU Bank,46.33,54.95,9.35,17.41,1,3,1,27.24,1,YES,1.64,84.8,29.3,39.94,YES
2023-05-02,ICICIB22,ETF - Bharat 22 Index,62.89,26.51,8.81,9.77,3,4,2,15.03,2,YES,1.67,90.5,14.7,56.04,YES
2023-05-02,FMCGIETF,ETF - FMCG,49.12,30.15,5.61,6.11,2,5,9,13.96,3,,2.06,83.7,13.2,45.48,YES
2023-05-02,CPSEETF,ETF - CPSE,42.2,16.93,10.56,9.7,6,2,3,12.39,4,YES,0.96,78.1,18.0,37.69,YES
2023-05-02,BANKBEES,ETF - Bank,437.85,20.48,4.91,9.46,4,7,4,11.62,5,YES,1.23,91.3,16.2,407.82,YES
2023-05-02,PVTBANIETF,ETF - Pvt Bank,21.71,20.08,3.88,9.32,5,9,5,11.09,6,YES,1.13,86.9,17.5,20.32,YES
2023-05-02,SILVERBEES,ETF - SILVER,72.99,11.76,11.23,6.85,8,1,7,9.95,7,,0.62,48.1,21.9,64.15,YES
2023-05-02,GOLDBEES,ETF - GOLD,51.31,14.28,5.42,1.79,7,6,13,7.16,8,,1.22,48.7,11.5,47.2,YES
2023-05-02,NIFTYBEES,ETF - Top 50,198.39,7.9,1.95,6.83,10,13,8,5.56,9,,0.64,79.2,13.1,191.36,YES
2023-05-02,LOWVOLIETF,ETF - Top 100,14.56,8.01,2.61,6.05,9,10,10,5.55,10,,0.69,77.9,12.2,14.05,YES
2023-05-02,GILT5YBEES,ETF - Fixed Income,51.91,5.57,2.43,1.05,11,11,14,3.02,11,,1.36,77.5,4.1,50.37,YES
2023-05-02,JUNIORBEES,ETF - Next 50,420.1,-5.34,4.12,7.14,13,8,6,1.97,12,,-0.26,76.8,16.2,422.91,NO
2023-05-02,PHARMABEES,ETF - Pharma,12.72,-5.15,2.33,5.91,12,12,11,1.03,13,,-0.31,61.5,13.9,12.58,YES
2023-05-02,TNIDETF,ETF - Digital,53.89,-13.12,-3.56,2.71,14,14,12,-4.66,14,,-0.58,56.5,20.5,54.77,NO
2023-06-01,PSUBNKBEES,ETF - PSU Bank,45.03,64.7,11.3,-2.83,1,5,11,24.39,1,YES,1.92,64.1,28.1,41.1,YES
2023-06-01,FMCGIETF,ETF - FMCG,52.51,35.97,13.61,6.21,2,1,1,18.59,2,,2.54,78.0,12.4,46.79,YES
2023-06-01,ICICIB22,ETF - Bharat 22 Index,63.35,33.51,7.21,0.33,3,9,9,13.68,3,YES,2.19,58.4,13.6,57.89,YES
2023-06-01,PVTBANIETF,ETF - Pvt Bank,22.21,26.19,12.91,1.55,4,2,6,13.55,4,YES,1.54,57.3,16.0,20.9,YES
2023-06-01,BANKBEES,ETF - Bank,445.77,25.91,12.46,1.04,5,3,7,13.14,5,YES,1.6,56.8,15.1,418.77,YES
2023-06-01,JUNIORBEES,ETF - Next 50,446.35,12.15,12.13,5.31,11,4,3,9.86,6,,0.86,75.8,14.6,429.35,YES
2023-06-01,LOWVOLIETF,ETF - Top 100,15.11,14.56,8.94,3.42,10,7,4,8.97,7,,1.28,71.1,11.1,14.29,YES
2023-06-01,NIFTYBEES,ETF - Top 50,202.99,15.62,9.0,1.78,8,6,5,8.8,8,,1.28,61.8,11.9,195.07,YES
2023-06-01,CPSEETF,ETF - CPSE,41.72,21.99,4.22,-1.49,6,11,10,8.24,9,YES,1.26,36.2,16.9,39.03,YES
2023-06-01,TNIDETF,ETF - Digital,57.28,7.15,7.41,5.76,13,8,2,6.77,10,,0.45,79.1,19.5,55.37,YES
2023-06-01,GOLDBEES,ETF - GOLD,50.99,16.23,2.6,-2.89,7,13,12,5.31,11,,1.38,36.4,11.4,48.27,YES
2023-06-01,SILVERBEES,ETF - SILVER,70.3,15.02,6.13,-6.45,9,10,13,4.9,12,,0.75,44.3,21.9,65.92,YES
2023-06-01,GILT5YBEES,ETF - Fixed Income,52.48,7.39,2.82,0.85,12,12,8,3.68,13,,2.41,80.0,3.0,50.8,YES
2023-07-03,PSUBNKBEES,ETF - PSU Bank,47.3,73.39,9.31,4.05,1,7,5,28.92,1,YES,2.15,67.6,27.4,42.39,YES
2023-07-03,ICICIB22,ETF - Bharat 22 Index,67.15,50.36,10.99,5.63,2,5,2,22.33,2,YES,3.41,72.2,12.2,59.74,YES
2023-07-03,FMCGIETF,ETF - FMCG,54.32,41.13,14.0,2.76,3,3,9,19.3,3,,2.89,72.9,12.2,48.13,YES
2023-07-03,CPSEETF,ETF - CPSE,44.18,39.06,7.91,5.72,4,9,1,17.57,4,YES,2.3,67.7,14.8,40.08,YES
2023-07-03,PVTBANIETF,ETF - Pvt Bank,22.92,37.41,8.27,2.92,5,8,8,16.2,5,YES,2.18,65.8,15.1,21.33,YES
2023-07-03,BANKBEES,ETF - Bank,459.73,35.34,7.65,2.7,6,10,10,15.23,6,YES,2.18,67.5,14.3,427.19,YES
2023-07-03,NIFTYBEES,ETF - Top 50,212.3,24.04,10.01,4.15,7,6,4,12.73,7,,2.02,77.3,11.0,197.75,YES
2023-07-03,JUNIORBEES,ETF - Next 50,464.73,20.19,14.13,3.74,9,2,6,12.68,8,,1.41,65.2,13.7,438.44,YES
