Date,Is_Rebalance_Date,Scrip,Sector,Close,Price_252d_Ago,Price_50d_Ago,Price_20d_Ago,Return_252d_%,Return_50d_%,Return_20d_%,Rank_252d,Rank_50d,Rank_20d,Has_252d_Data,Combined_Score_%,Overall_Rank,In_Portfolio,Sharpe_252d,RSI_14,Volatility_%,EMA200,Above_EMA200
2023-01-02,YES,PSUBNKBEES,ETF - PSU Bank,48.24,27.55,35.62,46.09,75.1,35.43,4.66,1,1,1,YES,38.4,1,YES,2.01,42.7,30.2,36.19,YES
2023-01-02,YES,ICICIB22,ETF - Bharat 22 Index,57.68,44.36,54.14,57.58,30.03,6.54,0.17,3,5,4,YES,12.25,2,YES,1.62,44.8,17.1,52.57,YES
2023-01-02,YES,CPSEETF,ETF - CPSE,38.48,29.52,36.95,39.27,30.35,4.14,-2.01,2,8,10,YES,10.83,3,YES,1.38,48.0,20.8,36.01,YES
2023-01-02,YES,BANKBEES,ETF - Bank,437.18,354.38,405.96,437.9,23.36,7.69,-0.16,5,4,6,YES,10.3,4,YES,1.16,42.4,19.7,395.51,YES
2023-01-02,YES,PVTBANIETF,ETF - Pvt Bank,21.82,17.66,20.51,21.89,23.56,6.39,-0.32,4,6,7,YES,9.87,5,YES,1.09,44.7,21.6,19.74,YES
2023-01-02,YES,GOLDBEES,ETF - GOLD,47.17,41.61,43.04,46.09,13.36,9.6,2.34,7,3,3,YES,8.43,6,,1.12,66.7,11.8,44.49,YES
2023-01-02,YES,FMCGIETF,ETF - FMCG,45.19,37.19,45.08,46.21,21.51,0.24,-2.21,6,16,11,YES,6.52,7,,1.39,27.1,14.8,42.68,YES
2023-01-02,YES,NIFTYBEES,ETF - Top 50,199.34,186.3,191.44,204.44,7.0,4.13,-2.49,8,9,12,YES,2.88,8,,0.51,38.0,15.8,190.36,YES
2023-01-02,YES,LOWVOLIETF,ETF - Top 100,14.28,13.91,13.98,14.78,2.66,2.15,-3.38,9,11,17,YES,0.47,9,,0.25,28.9,15.0,13.92,YES
2023-01-02,YES,JUNIORBEES,ETF - Next 50,445.65,441.06,448.14,463.74,1.04,-0.56,-3.9,10,18,20,YES,-1.14,10,,0.15,35.8,18.5,440.16,YES
2023-01-02,YES,PHARMABEES,ETF - Pharma,12.68,13.82,13.19,13.19,-8.25,-3.87,-3.87,11,20,19,YES,-5.33,11,,-0.44,38.9,16.4,13.01,NO
2023-01-02,YES,SILVERBEES,ETF - SILVER,67.67,,55.81,65.11,,21.25,3.93,21,2,2,NO,12.59,12,,0,59.3,0,61.33,YES
2023-01-02,YES,LTGILTBEES,ETF - Fixed Income,23.05,,22.54,23.03,,2.26,0.09,18,10,5,NO,1.17,13,,0,47.4,0,,
2023-01-02,YES,GILT5YBEES,ETF - Fixed Income,50.24,,49.31,50.42,,1.89,-0.36,16,13,8,NO,0.76,14,,0,44.3,0,,
2023-01-02,YES,DIVOPPBEES,ETF - Dividend Opportunities 50,47.83,,45.87,49.28,,4.27,-2.94,14,7,15,NO,0.67,15,,0,36.7,0,,
2023-01-02,YES,MID150BEES,ETF - MidCap,121.91,,119.61,125.67,,1.92,-2.99,19,12,16,NO,-0.53,16,,0,39.7,0,,
2023-01-02,YES,MNC,ETF - MNC,19.83,,19.78,20.35,,0.25,-2.56,20,15,13,NO,-1.15,17,,0,31.5,0,,
2023-01-02,YES,AUTOBEES,ETF - Auto,127.88,,128.53,131.45,,-0.51,-2.72,12,17,14,NO,-1.61,18,,0,41.7,0,,
2023-01-02,YES,FINIETF,ETF - Fin Services Ex-Bank,16.97,,,17.27,,,-1.74,15,22,9,NO,-1.74,19,,0,44.3,0,,
2023-01-02,YES,ITBEES,ETF - IT,29.87,,29.4,32.23,,1.6,-7.32,17,14,21,NO,-2.86,20,,0,37.1,0,,
2023-01-02,YES,CONSUMBEES,ETF - Consumption,82.37,,84.82,85.52,,-2.89,-3.68,13,19,18,NO,-3.29,21,,0,30.3,0,,
2023-01-02,YES,TNIDETF,ETF - Digital,52.63,,55.71,58.78,,-5.53,-10.46,22,21,22,NO,-8.0,22,,0,24.5,0,,
2023-01-03,,PSUBNKBEES,ETF - PSU Bank,48.48,27.71,36.29,46.85,74.95,33.59,3.48,1,1,3,YES,37.34,1,YES,,,,,
